year;hits;category;hits1
1998;4295;Chemistry;119098
1999;4632;Biochemistry, Genetics and Molecular Biology;101491
2000;4632;Materials Science;72860
2001;5223;Chemical Engineering;72342
2002;5332;Environmental Science;52103
2003;6164;Agricultural and Biological Sciences;34755
2004;6925;Medicine and Dentistry;34071
2005;7558;Earth and Planetary Sciences;28909
2006;8213;Energy;26464
2007;9157;Pharmacology, Toxicology and Pharmaceutical Science;25465
2008;9552;;
2009;10318;;
2010;10895;;
2011;12277;;
2012;13260;;
2013;15863;;
2014;17075;;
2015;18125;;
2016;19707;;
2017;22457;;
2018;24929;;
2019;28389;;
2020;34249;;
